timestamp,sec,nanosec,pv_x,pv_y,pv_z,ov_x,ov_y,ov_z,ov_w,tcp_speedv_x,tcp_speedv_y,tcp_speedv_z,tcp_speedv,tcp_angularv_x,tcp_angularv_y,tcp_angularv_z,tcp_angularv,tcp_accelv__x,tcp_accelv__y,tcp_accelv__z,tcp_accelv,tcp_accelv_angular_x,tcp_accelv_angular_y,tcp_accelv_angular_z,tcp_accelv_angular,ps_x,ps_y,ps_z,os_x,os_y,os_z,os_w,tcp_speeds,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,ap_x,ap_y,ap_z
1719851569860853819,,,,,,,,,,,,,,,,,,,,,,,,,,369.997,-1130.02,1730.01,,,,,,,,,,,,,,
1719851569861409988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1719851570821866821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3793,9.30279,-1.75816,88.2763,105.585,53.4513,,,
1719851570823081614,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.01,1730.02,,,,,,,,,,,,,,
1719851570823132420,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.01,1730.02,,,,,,,,,,,,,,
1719851570824340600,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.01,1730.02,,,,,,,,,,,,,,
1719851570826570666,,,,,,,,,,,,,,,,,,,,,,,,,,369.996,-1130.01,1730.01,,,,,,,,,,,,,,
1719851570829778674,,,,,,,,,,,,,,,,,,,,,,,,,,369.996,-1130.01,1730.01,,,,,,,,,,,,,,
1719851570832215070,,,,,,,,,,,,,,,,,,,,,,,,,,369.998,-1130.01,1730.02,,,,,,,,,,,,,,
1719851570833728546,,,,,,,,,,,,,,,,,,,,,,,,,,369.998,-1130.01,1730.02,,,,,,,,,,,,,,
1719851570834814590,,,,,,,,,,,,,,,,,,,,,,,,,,369.996,-1130.01,1730.02,,,,,,,,,,,,,,
1719851570837463247,,,,,,,,,,,,,,,,,,,,,,,,,,369.996,-1130.01,1730.02,,,,,,,,,,,,,,
1719851570839726621,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.02,1730.02,,,,,,,,,,,,,,
1719851570842129243,,,,,,,,,,,,,,,,,,,,,,,,,,369.997,-1130.01,1730.02,,,,,,,,,,,,,,
1719851570842225604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642324,0.607571,0.386594,0.690852,,,,,,,,,,
1719851570843359216,,,,,,,,,,,,,,,,,,,,,,,,,,369.997,-1130.01,1730.02,,,,,,,,,,,,,,
